phase,nodes_alive,op,key,node,latency_ms,success
baseline,10,PUT,fault-key-1,140.112.30.185,65,true
baseline,10,PUT,fault-key-2,140.112.30.187,73,true
baseline,10,PUT,fault-key-3,140.112.30.189,90,true
baseline,10,PUT,fault-key-4,140.112.30.189,62,true
baseline,10,PUT,fault-key-5,140.112.30.191,65,true
baseline,10,PUT,fault-key-6,140.112.30.191,63,true
baseline,10,PUT,fault-key-7,140.112.30.183,67,true
baseline,10,PUT,fault-key-8,140.112.30.185,64,true
baseline,10,PUT,fault-key-9,140.112.30.185,65,true
baseline,10,PUT,fault-key-10,140.112.30.187,68,true
baseline,10,PUT,fault-key-11,140.112.30.189,68,true
baseline,10,PUT,fault-key-12,140.112.30.189,71,true
baseline,10,PUT,fault-key-13,140.112.30.191,68,true
baseline,10,PUT,fault-key-14,140.112.30.183,66,true
baseline,10,PUT,fault-key-15,140.112.30.183,71,true
baseline,10,PUT,fault-key-16,140.112.30.185,66,true
baseline,10,PUT,fault-key-17,140.112.30.185,73,true
baseline,10,PUT,fault-key-18,140.112.30.187,68,true
baseline,10,PUT,fault-key-19,140.112.30.189,65,true
baseline,10,PUT,fault-key-20,140.112.30.189,100,true
kill_1,9,PUT,fault1-key-1,140.112.30.184,65,true
kill_1,9,PUT,fault1-key-2,140.112.30.185,64,true
kill_1,9,PUT,fault1-key-3,140.112.30.184,62,true
kill_1,9,PUT,fault1-key-4,140.112.30.184,64,false
kill_1,9,PUT,fault1-key-5,140.112.30.189,69,true
kill_1,9,PUT,fault1-key-6,140.112.30.187,66,true
kill_1,9,PUT,fault1-key-7,140.112.30.187,61,true
kill_1,9,PUT,fault1-key-8,140.112.30.186,66,true
kill_1,9,PUT,fault1-key-9,140.112.30.190,66,true
kill_1,9,PUT,fault1-key-10,140.112.30.184,69,true
kill_1,9,PUT,fault1-key-11,140.112.30.187,68,true
kill_1,9,PUT,fault1-key-12,140.112.30.189,68,true
kill_1,9,PUT,fault1-key-13,140.112.30.190,65,true
kill_1,9,PUT,fault1-key-14,140.112.30.183,68,true
kill_1,9,PUT,fault1-key-15,140.112.30.187,65,true
kill_1,9,PUT,fault1-key-16,140.112.30.182,69,true
kill_1,9,PUT,fault1-key-17,140.112.30.187,71,true
kill_1,9,PUT,fault1-key-18,140.112.30.184,64,true
kill_1,9,PUT,fault1-key-19,140.112.30.188,64,true
kill_1,9,PUT,fault1-key-20,140.112.30.189,62,true
