op,key,node,latency_ms,success
PUT,lat-key-1,140.112.30.188,61,true
PUT,lat-key-2,140.112.30.188,65,true
PUT,lat-key-3,140.112.30.190,62,true
PUT,lat-key-4,140.112.30.190,61,true
PUT,lat-key-5,140.112.30.182,66,true
PUT,lat-key-6,140.112.30.182,66,true
PUT,lat-key-7,140.112.30.184,68,true
PUT,lat-key-8,140.112.30.186,69,true
PUT,lat-key-9,140.112.30.186,66,true
PUT,lat-key-10,140.112.30.188,65,true
PUT,lat-key-11,140.112.30.190,65,true
PUT,lat-key-12,140.112.30.190,69,true
PUT,lat-key-13,140.112.30.182,67,true
PUT,lat-key-14,140.112.30.184,68,true
PUT,lat-key-15,140.112.30.184,67,true
PUT,lat-key-16,140.112.30.186,69,true
PUT,lat-key-17,140.112.30.186,70,true
PUT,lat-key-18,140.112.30.188,64,true
PUT,lat-key-19,140.112.30.190,69,true
PUT,lat-key-20,140.112.30.190,66,true
PUT,lat-key-21,140.112.30.182,69,true
PUT,lat-key-22,140.112.30.184,65,true
PUT,lat-key-23,140.112.30.184,63,true
PUT,lat-key-24,140.112.30.186,64,true
PUT,lat-key-25,140.112.30.188,61,true
PUT,lat-key-26,140.112.30.188,919,true
PUT,lat-key-27,140.112.30.189,63,true
PUT,lat-key-28,140.112.30.191,66,true
PUT,lat-key-29,140.112.30.191,68,true
PUT,lat-key-30,140.112.30.183,71,true
PUT,lat-key-31,140.112.30.185,109,true
PUT,lat-key-32,140.112.30.187,69,true
PUT,lat-key-33,140.112.30.187,69,true
PUT,lat-key-34,140.112.30.189,67,true
PUT,lat-key-35,140.112.30.191,93,true
PUT,lat-key-36,140.112.30.191,66,true
PUT,lat-key-37,140.112.30.191,64,true
PUT,lat-key-38,140.112.30.183,75,true
PUT,lat-key-39,140.112.30.185,63,true
PUT,lat-key-40,140.112.30.185,64,true
PUT,lat-key-41,140.112.30.187,64,true
PUT,lat-key-42,140.112.30.189,62,true
PUT,lat-key-43,140.112.30.191,67,true
PUT,lat-key-44,140.112.30.191,73,true
PUT,lat-key-45,140.112.30.183,69,true
PUT,lat-key-46,140.112.30.185,68,true
PUT,lat-key-47,140.112.30.185,77,true
PUT,lat-key-48,140.112.30.185,69,true
PUT,lat-key-49,140.112.30.187,69,true
