node,rpcs_sent,rpcs_received,kv_puts,kv_gets,kv_deletes,hints_stored,hints_delivered,read_repairs
140.112.30.182,4443,9104,368,173,0,367,363,173
140.112.30.183,4341,10604,330,126,0,329,320,126
140.112.30.184,4615,10260,316,117,0,313,308,116
140.112.30.185,4678,5313,308,126,0,307,293,125
140.112.30.186,4981,4092,318,128,0,318,304,127
140.112.30.187,5081,3942,304,133,0,303,290,132
140.112.30.188,5302,3944,333,109,0,333,323,109
140.112.30.189,3244,1188,37,11,0,37,32,11
140.112.30.190,3352,716,8,37,0,7,0,37
140.112.30.191,2131,2040,38,12,0,38,42,12
